21/2/2020 12:20:55
Time(ms)	Pressure(psig)	RPS	Current	Voltage
0.00	-0.54	16.44	0.00	3.30
6.00	-0.49	16.44	0.00	3.30
13.00	-0.54	16.44	0.00	3.30
19.00	-0.58	16.44	0.00	3.30
25.00	-0.44	16.44	0.00	3.30
31.00	-0.54	16.44	0.00	3.30
37.00	-0.54	16.44	0.00	3.30
43.00	-0.63	16.44	0.00	3.30
49.00	-0.54	16.44	0.00	3.30
55.00	-0.49	16.44	0.00	3.30
61.00	-0.54	16.44	0.00	3.30
67.00	-0.49	16.44	0.00	3.30
74.00	-0.54	16.44	0.00	3.30
80.00	-0.44	16.44	0.00	3.30
86.00	-0.44	16.44	0.00	3.30
92.00	-0.44	16.44	0.00	3.30
98.00	-0.54	16.44	0.00	3.29
104.00	-0.49	16.44	0.00	3.30
110.00	-0.58	16.44	0.00	3.30
116.00	-0.54	16.44	0.00	3.30
122.00	-0.44	16.44	0.00	3.29
129.00	-0.54	16.44	0.00	3.30
135.00	-0.40	16.44	0.00	3.30
141.00	-0.63	16.44	0.00	3.30
147.00	-0.49	16.44	0.00	3.30
153.00	-0.63	16.44	0.00	3.30
159.00	-0.44	16.44	0.00	3.29
165.00	-0.54	16.44	0.00	3.30
171.00	-0.44	16.44	0.00	3.30
177.00	-0.68	16.44	0.00	3.30
183.00	-0.58	16.44	0.00	3.30
190.00	-0.58	16.44	0.00	3.30
196.00	-0.49	16.44	0.00	3.30
202.00	-0.30	16.44	0.00	3.30
208.00	-0.54	16.44	0.00	3.30
214.00	-0.49	16.44	0.00	3.30
220.00	-0.58	16.44	0.00	3.30
226.00	-0.49	16.44	0.00	3.30
232.00	-0.58	16.44	0.00	3.30
238.00	-0.40	16.44	0.00	3.30
245.00	-0.49	16.44	0.00	3.30
251.00	-0.54	16.44	0.00	3.30
257.00	-0.49	16.44	0.00	3.30
263.00	-0.54	16.44	0.00	3.30
269.00	-0.58	16.44	0.00	3.30
275.00	-0.58	16.44	0.00	3.30
281.00	-0.63	16.44	0.00	3.30
287.00	-0.63	16.44	0.00	3.30
293.00	-0.44	16.44	0.00	3.30
299.00	-0.54	16.44	0.00	3.30
306.00	-0.58	16.44	0.00	3.30
312.00	-0.63	16.44	0.00	3.30
318.00	-0.58	16.44	0.00	3.30
324.00	-0.63	16.44	0.00	3.30
330.00	-0.58	16.44	0.00	3.30
336.00	-0.54	16.44	0.00	3.30
342.00	-0.58	16.44	0.00	3.30
348.00	-0.63	16.44	0.00	3.30
354.00	-0.63	16.44	0.00	3.30
361.00	-0.63	16.44	0.00	3.30
367.00	-0.54	16.44	0.00	3.30
373.00	-0.58	16.44	0.00	3.30
379.00	-0.63	16.44	0.00	3.30
385.00	-0.49	16.44	0.00	3.30
391.00	-0.77	16.44	0.00	3.30
397.00	-0.54	16.44	0.00	3.30
403.00	-0.44	16.44	0.00	3.30
409.00	-0.68	16.44	0.00	3.30
416.00	-0.54	16.44	0.00	3.30
422.00	-0.58	16.44	0.00	3.30
428.00	-0.63	16.44	0.00	3.30
434.00	-0.63	16.44	0.00	3.29
440.00	-0.49	16.44	0.00	3.30
446.00	-0.58	16.44	0.00	3.30
452.00	-0.63	16.44	0.00	3.30
458.00	-0.72	16.44	0.00	3.30
464.00	-0.58	16.44	0.00	3.30
470.00	-0.63	16.44	0.00	3.30
477.00	-0.54	16.44	0.00	3.30
483.00	-0.54	16.44	0.00	3.30
489.00	-0.58	16.44	0.00	3.30
495.00	-0.63	16.44	0.00	3.30
501.00	-0.54	16.44	0.00	3.30
507.00	-0.40	16.44	0.00	3.30
513.00	-0.58	16.44	0.00	3.30
519.00	-0.58	16.44	0.00	3.30
525.00	-0.54	16.44	0.00	3.30
532.00	-0.49	16.44	0.00	3.30
538.00	-0.58	16.44	0.00	3.29
544.00	-0.54	16.44	0.00	3.30
550.00	-0.44	16.44	0.00	3.30
556.00	-0.63	16.44	0.00	3.29
562.00	-0.58	16.44	0.00	3.30
568.00	-0.54	16.44	0.00	3.30
574.00	-0.54	16.44	0.00	3.30
580.00	-0.54	16.44	0.00	3.30
586.00	-0.63	16.44	0.00	3.30
593.00	0.07	16.44	0.00	3.30
599.00	-0.91	16.44	0.00	3.30
605.00	-0.77	16.44	0.00	3.30
611.00	-0.91	16.44	0.00	3.30
615.00	-1.05	16.44	0.00	3.30
619.00	-1.33	16.44	0.00	3.30
623.00	-0.12	16.44	0.00	3.30
627.00	-0.02	16.44	0.00	3.30
632.00	-2.03	16.44	0.00	3.30
636.00	-0.35	16.44	0.00	3.30
640.00	-0.16	16.44	0.00	3.30
644.00	-0.58	16.44	0.00	3.29
648.00	-0.21	16.44	0.00	3.30
654.00	-0.21	16.44	0.00	3.30
659.00	-1.14	16.44	0.00	3.29
663.00	-1.19	16.44	0.00	3.29
668.00	-1.00	16.44	0.00	3.29
673.00	-0.12	16.44	0.00	3.30
677.00	-0.40	16.44	0.00	3.30
681.00	-1.00	16.44	0.00	3.30
685.00	-0.30	16.44	0.00	3.30
690.00	-0.54	16.44	0.01	3.30
694.00	1.01	16.44	0.00	3.30
698.00	0.12	16.44	0.00	3.30
703.00	0.63	16.44	0.00	3.30
707.00	-0.12	16.44	0.00	3.30
711.00	0.87	16.44	0.00	3.30
715.00	0.54	16.44	0.00	3.29
