21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
847.00	5.30	25.39	0.14	3.30
851.00	5.72	25.39	0.08	3.30
855.00	6.28	23.73	0.13	3.30
861.00	8.25	23.73	0.16	3.30
865.00	8.11	23.73	0.12	3.30
869.00	6.94	23.73	0.12	3.30
873.00	6.19	23.73	0.22	3.30
877.00	5.16	23.73	0.18	3.29
881.00	5.30	23.73	0.12	3.30
886.00	7.31	21.42	0.16	3.30
891.00	6.94	21.42	0.15	3.29
895.00	7.97	21.42	0.10	3.30
900.00	9.93	21.42	0.22	3.29
904.00	12.03	20.59	0.20	3.29
909.00	12.73	20.59	0.16	3.30
913.00	11.38	20.59	0.31	3.30
918.00	9.09	20.59	0.18	3.30
922.00	6.19	20.59	0.21	3.30
926.00	7.13	20.59	0.27	3.30
930.00	9.65	20.59	0.17	3.30
935.00	11.00	20.59	0.31	3.30
939.00	13.25	20.59	0.25	3.30
943.00	14.88	20.59	0.25	3.30
947.00	14.60	20.59	0.37	3.30
951.00	12.96	20.59	0.29	3.30
956.00	9.51	20.59	0.45	3.30
960.00	6.00	20.59	0.32	3.30
965.00	9.51	20.59	0.40	3.30
969.00	12.03	20.59	0.33	3.30
974.00	15.63	20.59	0.36	3.30
978.00	18.94	20.59	0.39	3.30
983.00	17.26	20.59	0.39	3.30
988.00	11.70	20.59	0.41	3.30
992.00	8.76	20.59	0.43	3.30
997.00	13.76	16.08	0.33	3.30
1002.00	19.13	16.08	0.51	3.30
1006.00	22.68	16.08	0.39	3.29
1010.00	23.43	16.08	0.61	3.30
1014.00	18.24	16.08	0.43	3.29
1019.00	11.52	16.08	0.64	3.30
1023.00	16.00	16.08	0.40	3.30
1027.00	18.94	16.08	0.60	3.30
1031.00	23.80	16.08	0.42	3.30
1036.00	25.95	16.08	0.59	3.30
1040.00	23.76	16.08	0.52	3.30
1044.00	15.07	16.08	0.60	3.29
1048.00	12.40	16.08	0.60	3.30
1053.00	18.99	16.08	0.51	3.30
1057.00	26.19	16.08	0.78	3.30
1061.00	29.36	16.08	0.55	3.30
1065.00	24.27	16.08	0.71	3.30
